Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle (barns);Ecart type reel
M1E;CALIBAN3m;360;8,82E-02;0,00E+00;4,76E-01;8,30E-01;2,58E-01;1,00E+00;1,74E-07;1,40E-07
M1A;CALIBAN3m;180;9,76E-01;1,00E+00;4,78E-01;1,23E-01;0,00E+00;4,55E-01;2,07E-07;1,40E-07
M1E;SILENEPb4m;150;1,00E+00;9,83E-01;1,13E-01;0,00E+00;2,02E-04;8,15E-01;3,88E-08;3,37E-08
M1E;CALIBAN025m;255;1,15E-01;9,54E-01;1,00E+00;9,75E-01;9,55E-01;0,00E+00;3,55E-07;2,09E-07
M1A;SILENENU05m;315;0,00E+00;3,89E-01;9,34E-01;9,87E-01;1,00E+00;6,48E-01;2,40E-07;1,13E-07
M1A;SILENEPb4m;255;1,22E-01;9,06E-01;1,00E+00;9,69E-01;9,87E-01;0,00E+00;5,55E-08;2,87E-08
M1C;SILENENU05m;255;8,25E-02;9,16E-01;9,91E-01;1,00E+00;8,91E-01;0,00E+00;2,42E-07;1,27E-07
M1E;Flattop;195;9,73E-01;4,56E-01;9,66E-01;1,00E+00;0,00E+00;6,04E-03;1,38E-08;1,01E-08
M1A;CALIBAN025m;180;9,78E-01;1,00E+00;4,92E-01;1,27E-01;0,00E+00;4,65E-01;2,76E-07;1,84E-07
M1E;SILENENU05m;180;1,00E+00;2,69E-01;8,31E-01;4,53E-01;0,00E+00;8,45E-02;1,50E-07;1,21E-07
